,description,points,taster_twitter_handle,title,variety,winery
75442,"Plum, red berry, cinnamon and mint aromas give this savory-style red from Lebanon a serious start. Soft and elegant on the palate but with a touch of spice and lively acid, the wine is balanced and unfolding, and will pair well with dishes that offer complex spice. An interesting red with exotic appeal.",85,@suskostrzewa,Château Musar 1999 Gaston Hochar Red (Bekaa Valley),Red Blend,Château Musar
8925,"Aged in wood, this cuvée is powerful, ripe and intense. The jellied red fruits are all sweet and rich, touched by acidity but mainly with good depth of flavor and structure. It would even be worth aging this for another year.",91,@vossroger,Château du Châtelard 2006 Cuvée Tradition  (Fleurie),Gamay,Château du Châtelard
91531,"Classic northern Rhône aromas of smoke, espresso and black olive set the stage, followed by layers of dark fruit and spice. The finish is softly dusty, brimming with plum and licorice notes. Full-bodied, concentrated and supple, this is ready to drink now, yet should age well through 2025 or so.",91,@JoeCz,Gilles Flacher 2013 Les Reines  (Saint-Joseph),Syrah,Gilles Flacher
48610,"This is rather inexpressive, revealing muted and unusual sensations that recall medicinal herb. It's lean, with bracing acidity.",84,@kerinokeefe,Mario Schiopetto 2013 Pinot Bianco (Collio),Pinot Bianco,Mario Schiopetto
60011,"This rich and voluptuous wine wins one over with its baked pear and vanilla sumptuousness, etched with an apple blossom aroma. Robust and velvety on the palate, it's balanced by fresh citrus and wet stone nuances. The lifted acidity provokes both succulence and complexity.",95,@vboone,EnRoute 2015 Brumaire Chardonnay (Russian River Valley),Chardonnay,EnRoute
74484,"Pretty and plump, this is bursting with ripe cherry fruit. Highlights include a dusting of cocoa powder, and the wine sits perky on the palate with fine-grained tannins and ample acidity.",91,@paulgwine ,Andrew Rich 2013 Prelude Pinot Noir (Willamette Valley),Pinot Noir,Andrew Rich
108683,"Very faint peach notes break through the lemony freshness of this slender, golden wine. The usually richer, more sumptuous nature of Zierfandler shines through on the textured palate and in the glimpses of generous oiliness that flank the edges of the central citrus focus. This is lovely now but will reward cellaring. The finish is poised and clean-cut, lemony and long.",92,@AnneInVino,Stadlmann 2014 Anninger Zierfandler (Thermenregion),Zierfandler,Stadlmann
117175,"This big simple red opens with aromas of black currant, cedar and a whiff of blue flower. The robust, one-dimensional palate shows raisin, prune and coffee alongside round, velvety tannins.",88,@kerinokeefe,Albino Armani 2010  Amarone della Valpolicella,Red Blend,Albino Armani
31554,"High-toned energy is the persistent theme of this coastal Syrah. The nose is jumpy and wild, with leather, coffee and tarry notes along with foxy berry fruit. A juicy, crisp palate is high in acid, ringing with peppery currant and plum flavors. Toasty, spicy oak leads a ripped, bold finish. Drink through 2023.",90,@wineschach,Errazuriz 2015 Syrah (Aconcagua Costa),Syrah,Errazuriz
69966,"This could be in a mute phase, but this straight Barbaresco is inexpressive right now. While the nose shows hints of violet and herb, the palate reveals only modest hints of cherry and spice.",85,@kerinokeefe,Borgogno F.lli Serio e Battista 2009  Barbaresco,Nebbiolo,Borgogno F.lli Serio e Battista
75808,"Fresh aromas of white gumdrop, quince and peach precede a peachy, citrusy palate. Dry citrus flavors persist on a clean finish. This is a fresh Chardonnay where less is more.",87,@wineschach,Alfredo Roca 2016 Fincas Chardonnay (Mendoza),Chardonnay,Alfredo Roca
30016,"A blend of 70% Nero d'Avola and 30% Nocera from the extreme tip of northeastern Sicily, this offers enticing scents of violet, red berry and Mediterranean brush. The bright, juicy palate doles out ripe black cherry, crushed raspberry, chopped herb and a note of ground pepper alongside fresh acidity and round, polished tannins. Drink through 2019.",91,@kerinokeefe,Planeta 2014 Nero d'Avola Nocera Red (Sicilia),Red Blend,Planeta
81734,Cedar and oak aromas lead to ripe blackberry and plum on the palate. A sweet-seeming layer of maple syrup and brown sugar flavors make this wine jammy in personality.,85,@gordone_cellars,Nanna's Short Cake 2013 Zinfandel (Lodi),Zinfandel,Nanna's Short Cake
44106,"Grassy and grapefruity, with sour, close to vegetal, flavors and a touch of sweetness on the finish.",84,@JoeCz,Attems 2001 Sauvignon Blanc (Collio),Sauvignon Blanc,Attems
69808,"Intensely herbal and green, this wine is as crisp as possible. It's also attractively perfumed from the Gros Manseng in the blend that is dominated by Colombard and Ugni Blanc. The wine is brightly fruity and deliciously crisp and refreshing. Drink now.",84,@vossroger,Domaine de Maubet 2016 White (Côtes de Gascogne),White Blend,Domaine de Maubet
97880,"Subtle and crisp in minerality, this Pinot Blanc has a rich texture and a taste of apple and pear with a savory, herbal element throughout. It would serve nicely as an alternative to Chardonnay, especially on the dinner table.",89,@vboone,Wente 2012 Small Lot Pinot Blanc (Arroyo Seco),Pinot Blanc,Wente
33089,"Full bodied and fleshy, this is an approachable wine, richly concentrated in candied-peach flavor that pleases and finds a balance between power and grace.",88,@vboone,Stag's Leap Wine Cellars 2015 Karia Chardonnay (Napa Valley),Chardonnay,Stag's Leap Wine Cellars
107090,"This solid red features aromas of ripe dark berry, violet and a whiff of spice. The savory palate delivers layers of crushed blackberry, juicy raspberry, white pepper, clove and cocoa alongside lively acidity and firm, yet velvety tannins.",91,@kerinokeefe,Franz Haas 2011 Lagrein (Alto Adige),Lagrein,Franz Haas
15921,"An estate bottled Pinot, this wine is inviting in floral and fruity characteristics, offering concise layers of red cherry, rose petals and a spark of oak that builds in intensity through the finish. This is a nice place to start on the winery's lineup of Carneros-Napa Valley Pinot Noir.",91,@vboone,Saintsbury 2012 Brown Ranch Pinot Noir (Carneros),Pinot Noir,Saintsbury
53069,"Fully ripe, estate-grown fruit, 100% varietal, starts it on solid ground. It's soft and plummy, with purple fruits in abundance, and brings flavors of light chocolate threaded through smooth tannins. Just a little more acidity would elevate it further. Drink soon and enjoy.",89,@paulgwine ,Gifford Hirlinger 2010 Estate Merlot (Walla Walla Valley (WA)),Merlot,Gifford Hirlinger
86517,"This Amarone has aromas of plum and evident oak. The palate delivers dark cherry, raisin and spice flavors, with chocolate and espresso accents. The dense fruit has easy appeal but the wine doesn't have much personality.",87,@kerinokeefe,Corte San Benedetto 2008  Amarone della Valpolicella Classico,Red Blend,Corte San Benedetto
74640,"Wiry berry aromas come with a touch of sweet plastic. This feels hard and tannic as well as fleshy. Herbal, lightly weedy and salty plum and berry flavors finish with lively acidity and foxy, jammy berry notes.",84,@wineschach,Figaro 2015 Tinto Niño Jesús Garnacha (Calatayud),Garnacha,Figaro
128152,"Rich in grenadine and orange peel flavor, Red Electra is infused with the perfume of jasmine. Slightly effervescent, it would be delightful over ice or mixed into a gin and tonic and at under 6% alcohol is a nice apéritif to serve any guest.",90,@vboone,Quady 2012 Red Electra Moscato (California),Moscato,Quady
53222,"Perfumed, floral and intriguing, this is still tight with mountain tannins. In a few years, its thick black-cherry and pepper tones will emerge, becoming rounded out with notes of violet and oaky leather.",88,@vboone,Naggiar 2009 Estate Grenache (Sierra Foothills),Grenache,Naggiar
74967,"Aromas of red berry, tilled earth and forest floor set the tone for this bright, friendly red. The juicy palate doles out wild cherry, crushed raspberry and savory herb framed by firm acidity and fine-grained tannins. There's not much complexity but it is delicious.",88,@kerinokeefe,Tenuta San Vito 2013  Chianti,Sangiovese,Tenuta San Vito
110184,"Ripe and textured, this is a juicy, black-fruit-flavored wine. Power behind the fruit gives firmness and concentration. Acidity and berry fruits contrast with pepper and a bitter edge that needs to soften. Drink from 2019.",91,@vossroger,Casa Agricola Alexandre Relvas 2015 Segredos de São Miguel Reserva Red (Alentejano),Portuguese Red,Casa Agricola Alexandre Relvas
103068,"Roasted and decidedly earthy on the nose, this has mature aromas of coffee, spice and herb note. A solid fabric of aged tannins and acidity bolster the wild berry and cherry flavors, which finish syrupy and raisiny. A blend of 50% Petit Verdot, 30% Cabernet Sauvignon and 20% Malbec.",89,@wineschach,San Huberto 2007 Nina Blend Red (Argentina),Red Blend,San Huberto
78267,"A deep, dense concentration of black cherry and berry provides richness and juiciness to this wine, the fruit wrapped around velvety waves of full-bodied texture and a supporting wall of oak. Earthy licorice and black tea appear on the long finish.",93,@vboone,W.H. Smith 2012 Hellenthal Pinot Noir (Sonoma Coast),Pinot Noir,W.H. Smith
13654,"This is an unusually complex and intricate wine that has more than simple crispness. It starts with grapefruit and bitter apple aromas and builds toward vibrant but rich grapefruit, mineral and savory consommé flavors. The texture is broad and mouthfilling but well supported and balanced by acidity. A great debut for Berryhill.",91,@gordone_cellars,Berryhill 2016 Sauvignon Blanc (Lodi),Sauvignon Blanc,Berryhill
88937,"Light copper in color, this Vin Gris at first has crisp acidity and muted aromatics that unveil slowly in the glass. A bite of tannin gives it structure and direction, brightened by notes of orange and red cherry.",90,@vboone,La Pitchoune 2014 Vin Gris of Pinot Noir (Sonoma Coast),Pinot Noir,La Pitchoune
81876,"Fruity with apple and pear, this wine has light acidity and a light mousse. A touch of toast and delicious zesty orange texture give complexity. It makes a perfect apéritif wine.",89,@vossroger,Andre et Mireille Tissot NV Cuvée Indigène Sparkling (Crémant de Jura),Sparkling Blend,Andre et Mireille Tissot
108408,"Crisp and fruity, this wine is full of apple and citrus flavors. It also features a touch of wood and spice, with a creamy aftertaste from the light wood aging. Drink now.",87,@vossroger,Château Mont-Pérat 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château Mont-Pérat
13364,"Tight, rooty, spicy aromas of cherry and cassis include notes of raw minerals and crushed rocks. This is a bit gritty and tannic, but it's not fierce or unyielding. Reedy, spicy plum, berry, coffee and cocoa flavors finish dry, with lasting notes of chocolate and baking spices. Drink through 2021.",92,@wineschach,Riglos 2013 Gran Cabernet Sauvignon (Tupungato),Cabernet Sauvignon,Riglos
19211,"There are raspberry flavors, certainly, but raspberry with attitude, as this wine, with its firm tannins and open fruit, attests. The acidity and the dry edge point this wine firmly toward food.",86,@vossroger,Château de la Terrière 2006  Beaujolais-Villages,Gamay Noir,Château de la Terrière
42747,"Enticing aromas recall white flower and a hint of stone fruit. The focused palate offers Bartlett pear, yellow apple and tangerine alongside subtle notes of dried aromatic herbs and crisp acidity. Fermentation in large casks lends this structure and complexity.",91,@kerinokeefe,La Tunella 2012 Col de Bliss Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,La Tunella
60296,"This opens with aromas of scorched earth, black-skinned fruit and game. The aromas carry over to the simple palate alongside rounded tannins. Drink soon.",86,@kerinokeefe,Castelluccio 2015 Le More Sangiovese (Romagna),Sangiovese,Castelluccio
34602,"The blend of 60% Grenache and 40% Syrah mixes notes of black cherries with hints of red raspberries to create a delicious tension. Dried spices and mocha add nuance, while the tannins are firm at first, fading to the texture of cocoa powder on the long finish. Drink now–2022.",90,@JoeCz,Domaine le Renard 2015 Plan De Dieu Red (Côtes du Rhône Villages),Rhône-style Red Blend,Domaine le Renard
108567,"This is rosé by virtue of blending a white grape (Pinot Gris) with a red grape (Zinfandel); hence the color. You'll find simple, slightly sweet strawberry and peach flavors.",83,@paulgwine ,Hip Chicks NV Riot Girl Rosé (Umpqua Valley),Rosé,Hip Chicks
49051,"Very fruity, very juicy, this wine is all about crisp, fresh fruitiness, starting with hand-picked biodynamic vineyard plots and gravity-flow into the winery. Red currants dominate, with considerable acidity right at the fore. At the back, the tannins are developing, but fruit will be the hallmark for the long future. Owner Thierry Valette's family also owns Château Troplong-Mondot in Saint-Émilion.",87,@vossroger,Clos Puy Arnaud 2012  Castillon Côtes de Bordeaux,Bordeaux-style Red Blend,Clos Puy Arnaud
8246,"Though labeled Columbia Valley, this is in fact 100% Merlot from the estate vineyards on Red Mountain. It's chewy and tannic, as is often the case with Red Mountain reds, with black cherry and cassis fruit wrapped by astringent tannins hinting at dark chocolate. In short, a fine steak wine, that needs some fat to cut the tannins.",89,@paulgwine ,Kiona 2010 Merlot (Columbia Valley (WA)),Merlot,Kiona
41802,"Max Reserva is the easiest, most fruity of the Errazuriz Chardonnay lineup for 2014. Aromas of vanilla wafer, barrel toast, smoke and white fruits announce a smooth but simple palate. Peach, melon and toasty oak are the key flavors, while this finishes a touch salty.",89,@wineschach,Errazuriz 2014 Max Reserva Chardonnay (Aconcagua Costa),Chardonnay,Errazuriz
11518,"Spunky and bright in terms of its aromatics, with musky lime and mineral notes. The palate is both juicy and round, with lemon, lime and piercing, pithy citrus flavors. Citric, sheering and foxy on the finish, and exceedingly cleansing.",86,@wineschach,William Cole 2009 Albamar Sauvignon Blanc (Casablanca Valley),Sauvignon Blanc,William Cole
94883,"Full of the fresh acidity of the 2014 vintage, this light, bright wine has refreshing lemon and crisp apple flavors that are given richness by the lively acidity. Bursting with fruit, it is ready to drink now.",87,@vossroger,Domaine des Gandines 2014 Terroir de Clessé  (Viré-Clessé),Chardonnay,Domaine des Gandines
96596,"From a vintage known for its readily-approachable wines, this grand cru Saint-Emilion shows surprising structure. Some toasty oak frames delicate black-cherry fruit. Black tea notes on the finish carry more tannins than the fruit can handle in the long run, so catch this one soon before it heads south.",84,@JoeCz,Château Lapelletrie 1997  Saint-Émilion,Bordeaux-style Red Blend,Château Lapelletrie
83569,"An oily, rich and full-figured white from the producer's estate vineyard, this wine offers elements of honey-baked apple and caramel. Well made in a big style, it's listed as 100% from the Dijon clone of Chardonnay.",90,@vboone,Tamber Bey 2013 Deux Chevaux Vineyard Chardonnay (Yountville),Chardonnay,Tamber Bey
12424,"This ripe, soft selection is full of fresh white fruit and apricot flavors. An apéritif style, it's warm and fruity, its tight acidity balanced by the rich aftertaste.",87,@vossroger,Champagne Gremillet NV Sélection Brut  (Champagne),Champagne Blend,Champagne Gremillet
29640,"A full-bodied wine, with a mouth-filling mousse, crisp acidity, but also ripe green apple and a ripe, mineral Chardonnay character. Fruity, smooth and creamy, this has just an edge of yeastiness on the finish.",88,@vossroger,Jean-Baptiste Thibaut NV Brut  (Crémant de Bourgogne),Chardonnay,Jean-Baptiste Thibaut
3922,"A juicy, fruity wine that is named after the Knights Templar who built a magnificent castle and convent in the local city of Tomar. It is fresh with red berry acidity and some perfumed tannins. It should be ready to drink soon, but wait until the end of 2016 for the best results.",87,@vossroger,Quinta do Cavalinho 2013 Templários Colheita Seleccionada Red (Tejo),Portuguese Red,Quinta do Cavalinho
36196,"A superb wine that brings together all the great elements of aged Madeira. There is a wonderful tight acidity over the natural sweetness of the wine, with notes of raisin, dark plum, smoke and surprising freshness, considering its age. This gorgeous limited edition wine will not age longer in the bottle, but can certainly be kept for several weeks once opened.",98,@vossroger,Blandy's 1969 Bual (Madeira),Bual,Blandy's
31392,"This single-vineyard Pinot Gris is smooth as silk, loaded with fresh, well-defined flavors of melon. A touch of spring herb is delicately applied. Not a big, fruity wine, but delicious in a rather quiet way.",88,@paulgwine ,Lumos 2013 Logsdon Ridge Vineyard Rudolfo Pinot Gris (Willamette Valley),Pinot Gris,Lumos
68172,"Also known as Mourvèdre. This Spanish-inspired Monastrell from Bokisch, grown on a hillside, is brawny with plenty of earth and bacon bite to it, yet also floral, rich yet also bright, tasting of black cherry and pomegranate with a menthol tobacco chaser.",91,@vboone,Bokisch 2008 Belle Colline Vineyard Monastrell (Clements Hills),Monastrell,Bokisch
49707,"With 4% Merlot, this Cab is aged just over two years in French oak and given almost as long in bottle before release. The result is satisfying, a swirl of savory black pepper, espresso, black cherry and tar smoothed out by dry tannins and restrained, toasty oak. The artist featured is Sonoma-based painter Keith Wicks.",91,@vboone,Kenwood 2010 Artist Series Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Kenwood
8227,"From the legendary 1996 vintage, this is a bottling that only received its dosage in 2012. It is very dry, intensely crisp and packed with acidity and minerality. Still young and fruity, it's an impressive wine that will certainly improve with age. Drink through 2022.",92,@vossroger,J. Dumangin Fils 1996 Vinothèque Premier Cru Brut  (Champagne),Champagne Blend,J. Dumangin Fils
18432,"Full bodied and richly textured, this is a terrific value in Barossa Cabernet. And it's no simple fruity concoction, either. Instead, it delivers complex notes of grilled meat, coffee and black olive layered easily over a base of dark plums. Finishes long, velvety and mouthwatering; drink now–2020.",91,@JoeCz,Langmeil 2008 Blacksmith Cabernet Sauvignon (Barossa),Cabernet Sauvignon,Langmeil
118411,"Zinfandel, Petite Sirah and Mixed Blacks go into this sumptuous wine, velvety smooth in texture with dollops of blackberry, strawberry and chocolate combining for a decadent experience. The grapes are sourced from an estate vineyard and co-fermented together, giving the wine a seamless feel.",90,@vboone,Armida 2012 Il Campo Estate Field Blend Red (Dry Creek Valley),Red Blend,Armida
29588,"Cedar and cigar box are most prominent on the nose, followed by hints of blackberry and currant. The palate boasts cigar box, leather and raw oak with more currant and pomegranate offering levity. Medium tannins lend structure and carry through to the cedar flecked finish.",88,@bkfiona,Kingman 2013 Cabernet Sauvignon (Grand Valley),Cabernet Sauvignon,Kingman
122986,"A Petite Sirah abundant in black pepper and cinnamon spice, structured, ripe and leathery. The tannins show promise for aging 5–7 years, the wine's black fruit waiting to burst forth.",86,@vboone,Aver Family Vineyards 2009 Blessings Petite Sirah (Santa Clara Valley),Petite Sirah,Aver Family Vineyards
82765,"Testarossa's annual best-barrel offering starts with broad aromas of violets, blackberry tea and anise on the edges. It's a lighter Pinot density-wise, very soft and expressive with purple fruits, black olive and a fennel-powered acidify on the finish.",90,@mattkettmann,Testarossa 2012 Niclaire Pinot Noir (California),Pinot Noir,Testarossa
23926,"This is yet another plump, sweaty smelling Sauvignon Blanc from this producer. This vintage is fat in the mouth but kept alive by adequate young acidity. Salty, briny flavors of citrus, particularly grapefruit, end in similar briny fashion.",82,@wineschach,Casarena 2012 Estate Bottled Sauvignon Blanc (Mendoza),Sauvignon Blanc,Casarena
77592,"A rounded style of rosé, this is ripe and soft, with acidity cushioned by the rich red fruits. The aftertaste with its lemon-zest touch makes this wine refreshing.",88,@vossroger,Domaine de la Sanglière 2015 Cuvée Spéciale Rosé (Côtes de Provence),Rosé,Domaine de la Sanglière
21442,"Aromas of citrus and yellow stone fruit lead the way along with a whiff of pineapple. The rather lean linear palate offers tangerine, grapefruit and a hint of almond. It closes on a savory saline note.",88,@kerinokeefe,Nittardi 2015 BEN Vermentino (Toscana),Vermentino,Nittardi
94327,"With its red berry flavor and touch of citrus, this is very fruity. It's attractive, crisp and open.",85,@vossroger,Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion
82079,"Staunch aromas of burnt coffee and gritty black fruits are jumbled and tough. This feels fat and a bit out of shape, while heavily oaked flavors of roasted berry fruits finish blackened and woody.",86,@wineschach,Viña Vilano 2015 Roble Black Edition  (Ribera del Duero),Tempranillo,Viña Vilano
5668,"Fresh aromas, vivid citrus flavors, elegance and poise make this an attractive wine. It has a balance that is easy to enjoy and keeps calling for more sips, with pleasant notes of citrus and green fruit throughout.",90,@gordone_cellars,Murphy-Goode 2015 The Fumé Sauvignon Blanc (North Coast),Sauvignon Blanc,Murphy-Goode
20883,"Mature plum, vanilla, toast and toasted oak sensations lead the nose. The palate opens with juicy black cherry and plum layered with coffee, dense chocolate and bitter espresso that slightly diminish the impact of its Nebbiolo pedigree and purity. It's already accessible but should also age well.",89,@kerinokeefe,Giribaldi 2010  Barolo,Nebbiolo,Giribaldi
114298,"Plum and cherry aromas are generic in nature. This feels jammy and candied, while heavy berry fruit and oak flavors combine to keep things basic and muddled.",83,@wineschach,Viña Bisquertt 2012 La Joya Gran Reserva Carmenère (Colchagua Valley),Carmenère,Viña Bisquertt
38038,"Bright fresh notes of greengage and lemon play on the nose. The palate has the same zippy fruit flavors which are ripe but remain resolutely fresh. The mousse is frothy and lively, accentuating the lemony brightness even more against a more mellow autolytic background. A wonderfully balanced dry fresh apéritif.",90,@AnneInVino,René Muré NV Sparkling (Crémant d'Alsace),Sparkling Blend,René Muré
90090,"Sourced from Les Collines Vineyard in Walla Walla and Wallula Benches Vineyard in the Horse Heaven Hills, this engaging Syrah features firm, ripe fruit, brown spice and a strong streak of cola. It's drinking quite well and is fully integrated, so enjoy it soon rather than cellaring it for later.",89,@paulgwine ,North by Northwest 2009 Syrah (Columbia Valley (WA)),Syrah,North by Northwest
117317,"This gorgeous Brunello seamlessly weaves together sensations of tilled soil, blue flower, ripe black cherry, leather, truffle, clove, white pepper and Mediterranean herbs. It's balanced and smooth, with velvety tannins and fresh acidity. Even though it's already delicious, it will continue to develop complexity for years.",97,@kerinokeefe,Il Paradiso di Manfredi 2006 Riserva  (Brunello di Montalcino),Sangiovese,Il Paradiso di Manfredi
123306,"Flat stewy prune-like aromas are low on life but not off-putting. This feels wide grabby and tannic, while jammy flavors of raspberry and plum finish chunky and expansive, but also tannic and wan. Drink now.",87,@wineschach,Larchago 2008 Pagos de Tahola Reserva  (Rioja),Tempranillo,Larchago
50281,"Strong cedar notes greet the nose alongside charred red bell pepper, crushed gravel and elderberry fruit. Pencil shavings are prominent on the very full and complex palate, giving nuance to black plums, roasted beef, charcoal and dark chocolate.",91,@mattkettmann,Martin Ranch 2013 JD Hurley Merlot (Santa Clara Valley),Merlot,Martin Ranch
13761,"Thin on the palate and yet simultaneously oaky, this funky Merlot includes small amounts of Syrah and Cabernet Sauvignon.",83,@vboone,Talaria 2012 Merlot (Dry Creek Valley),Merlot,Talaria
85497,"The current releases from Scarborough show a winemaker dedicated to obtaining excellent fruit and experimenting with an interesting range of barrel sizes and sources. Here it all works well, a Southern Rhône-style mix of Grenache, Mourvèdre, Counoise and Cinsault with a flinty, mineral base note. There's a sweet-tart cherry core and a lick of peppery spice that livens up the finish.",90,@paulgwine ,Scarborough 2010 Midnight Red (Yakima Valley),Rhône-style Red Blend,Scarborough
1704,"The 18 months of aging in 90% American oak really shows in the forward flavors and aromas of vanilla and mocha. Some black fruit shines through on the palate in the form of cassis and black cherry. Balanced and round, though generally light weight.",86,@laurbuzz,Kadesh Barnea 2004 Estate Bottled Reserve Kosher Cabernet Sauvignon (Negev Hills),Cabernet Sauvignon,Kadesh Barnea
40907,"Spicy new wood is obvious in the aroma of this smooth, polished, ripe white wine. It has richness, with its flavors of nutmeg, pears and fresh red apple acidity. The wine is worth aging for two years, to allow the fruit and wood to blend.",90,@vossroger,Château la Garde 2007  Pessac-Léognan,Bordeaux-style White Blend,Château la Garde
13370,"Alluring scents of ripe berry, dark spice, toast, grilled herb and a balsamic note set the tone for this youthful Barolo. The full-bodied, tightly wound palate offers red cherry, white pepper cinnamon and sage alongside assertive tannins and fresh acidity. A licorice note caps the finish. Drink after 2019.",92,@kerinokeefe,Tenuta Rocca 2012 Bussia  (Barolo),Nebbiolo,Tenuta Rocca
72659,"Here's a solid, straightforward Barolo that delivers aromas and flavors of ripe black cherry, raspberry compote, star anise, leather and menthol. You'll also detect the warmth of alcohol on the finish, while chewy tannins provide support. Drink 2017–2022.",88,@kerinokeefe,Collina San Ponzio 2012  Barolo,Nebbiolo,Collina San Ponzio
74986,"A proprietary blend of Zinfandel and Malbec, with smaller parts Merlot, Petite Sirah, Cabernet Sauvignon and Syrah, Heritage is powerful and soft. It's awash in blueberry, red plum and vanilla, all verging on superripe, the finish particularly intense.",88,@vboone,Roth 2011 Heritage Red (Sonoma County),Red Blend,Roth
41742,"This salmon-hued rosé Cava opens with aromas of cotton candy, vanilla and yeast. On the tongue, it's simple in structure and feels a lot like citrus juice with bubbles. Flavors of orange and nectarine finish crisp and with a note of apricot.",88,@wineschach,Marqués de Gelida 2011 Brut Reserva Pinot Noir (Cava),Pinot Noir,Marqués de Gelida
16193,"Claire and Mike Allen's fine Sauvignon Blanc epitomizes the Wairau subregion, blending slightly grassy notes with passion fruit and riper stone-fruit flavors. It's medium bodied and tightly focused, with a silky mouthfeel and a long, citrus and white-currant finish.",90,@JoeCz,Huia 2013 Estate Grown Sauvignon Blanc (Marlborough),Sauvignon Blanc,Huia
84169,Subtle strawberry and red-apple notes create a fruit opening on the nose. The frothy palate accentuates both fruit and inherent freshness with its lively fizz. An autolytic touch of yeast joins in on the dry refreshing finish.,89,@AnneInVino,Pierre Sparr NV Brut Rosé Sparkling (Crémant d'Alsace),Sparkling Blend,Pierre Sparr
126192,"This multi-vineyard blend opens with light floral notes, hits the palate with spice, clove and pepper, then brings in cranberry and pie cherry fruit. Complex and racy, it will be best with additional cellaring.",88,@paulgwine ,Seven of Hearts 2008 Pinot Noir (Willamette Valley),Pinot Noir,Seven of Hearts
